timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552405251678,200,HTTP Request-0,302,,Thread Group 1-25,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,43
1552405251878,49,HTTP Request-1,200,,Thread Group 1-25,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405251968,252,HTTP Request,200,,Thread Group 1-26,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,198,0,42
1552405251968,198,HTTP Request-0,302,,Thread Group 1-26,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,198,0,42
1552405252166,54,HTTP Request-1,200,,Thread Group 1-26,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,54,0,0
1552405252264,250,HTTP Request,200,,Thread Group 1-27,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,200,0,42
1552405252264,200,HTTP Request-0,302,,Thread Group 1-27,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,42
1552405252464,50,HTTP Request-1,200,,Thread Group 1-27,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405252552,252,HTTP Request,200,,Thread Group 1-28,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,202,0,42
1552405252552,202,HTTP Request-0,302,,Thread Group 1-28,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,202,0,42
1552405252754,50,HTTP Request-1,200,,Thread Group 1-28,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405252853,275,HTTP Request,200,,Thread Group 1-29,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,225,0,43
1552405252853,225,HTTP Request-0,302,,Thread Group 1-29,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,225,0,43
1552405253079,49,HTTP Request-1,200,,Thread Group 1-29,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405253146,260,HTTP Request,200,,Thread Group 1-30,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,208,0,43
1552405253146,208,HTTP Request-0,302,,Thread Group 1-30,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,208,0,43
1552405253354,52,HTTP Request-1,200,,Thread Group 1-30,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,52,0,0
1552405253444,258,HTTP Request,200,,Thread Group 1-31,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,206,0,41
1552405253444,206,HTTP Request-0,302,,Thread Group 1-31,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,206,0,41
1552405253650,52,HTTP Request-1,200,,Thread Group 1-31,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405253733,384,HTTP Request,200,,Thread Group 1-32,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,327,0,43
1552405253733,327,HTTP Request-0,302,,Thread Group 1-32,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,327,0,43
1552405254060,57,HTTP Request-1,200,,Thread Group 1-32,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,57,0,0
1552405254022,277,HTTP Request,200,,Thread Group 1-33,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,229,0,41
1552405254022,229,HTTP Request-0,302,,Thread Group 1-33,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,229,0,41
1552405254251,48,HTTP Request-1,200,,Thread Group 1-33,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,48,0,0
1552405254315,256,HTTP Request,200,,Thread Group 1-34,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,206,0,43
1552405254315,206,HTTP Request-0,302,,Thread Group 1-34,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,206,0,43
1552405254521,50,HTTP Request-1,200,,Thread Group 1-34,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405254597,253,HTTP Request,200,,Thread Group 1-35,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,202,0,41
1552405254597,202,HTTP Request-0,302,,Thread Group 1-35,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,202,0,41
1552405254801,49,HTTP Request-1,200,,Thread Group 1-35,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405254890,262,HTTP Request,200,,Thread Group 1-36,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,212,0,42
1552405254890,212,HTTP Request-0,302,,Thread Group 1-36,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,212,0,42
1552405255102,50,HTTP Request-1,200,,Thread Group 1-36,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405255195,253,HTTP Request,200,,Thread Group 1-37,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,202,0,43
1552405255195,202,HTTP Request-0,302,,Thread Group 1-37,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,202,0,43
1552405255397,51,HTTP Request-1,200,,Thread Group 1-37,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405255469,253,HTTP Request,200,,Thread Group 1-38,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,201,0,42
1552405255469,201,HTTP Request-0,302,,Thread Group 1-38,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,201,0,42
1552405255670,52,HTTP Request-1,200,,Thread Group 1-38,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,52,0,0
1552405255757,256,HTTP Request,200,,Thread Group 1-39,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,206,0,43
1552405255757,206,HTTP Request-0,302,,Thread Group 1-39,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,206,0,43
1552405255963,50,HTTP Request-1,200,,Thread Group 1-39,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405256045,269,HTTP Request,200,,Thread Group 1-40,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,215,0,42
1552405256045,215,HTTP Request-0,302,,Thread Group 1-40,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,215,0,42
1552405256261,53,HTTP Request-1,200,,Thread Group 1-40,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,53,0,0
1552405256335,255,HTTP Request,200,,Thread Group 1-41,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,206,0,43
1552405256335,206,HTTP Request-0,302,,Thread Group 1-41,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,206,0,43
1552405256541,49,HTTP Request-1,200,,Thread Group 1-41,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405256621,258,HTTP Request,200,,Thread Group 1-42,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,204,0,43
1552405256621,204,HTTP Request-0,302,,Thread Group 1-42,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,204,0,43
1552405256825,54,HTTP Request-1,200,,Thread Group 1-42,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,54,0,0
1552405256910,252,HTTP Request,200,,Thread Group 1-43,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,202,0,42
1552405256910,202,HTTP Request-0,302,,Thread Group 1-43,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,202,0,42
1552405257112,50,HTTP Request-1,200,,Thread Group 1-43,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405257200,254,HTTP Request,200,,Thread Group 1-44,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,205,0,43
1552405257200,205,HTTP Request-0,302,,Thread Group 1-44,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,205,0,43
1552405257405,49,HTTP Request-1,200,,Thread Group 1-44,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405257490,253,HTTP Request,200,,Thread Group 1-45,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,204,0,43
1552405257490,204,HTTP Request-0,302,,Thread Group 1-45,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,204,0,43
1552405257694,49,HTTP Request-1,200,,Thread Group 1-45,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405257777,258,HTTP Request,200,,Thread Group 1-46,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,207,0,43
1552405257777,207,HTTP Request-0,302,,Thread Group 1-46,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,207,0,43
1552405257984,51,HTTP Request-1,200,,Thread Group 1-46,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405258064,292,HTTP Request,200,,Thread Group 1-47,text,true,,5338,407,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,241,0,43
1552405258064,241,HTTP Request-0,302,,Thread Group 1-47,,true,,424,262,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/login,241,0,43
1552405258305,51,HTTP Request-1,200,,Thread Group 1-47,text,true,,4914,145,2,2,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405258354,260,HTTP Request,200,,Thread Group 1-48,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,211,0,44
1552405258354,211,HTTP Request-0,302,,Thread Group 1-48,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,211,0,44
1552405258565,49,HTTP Request-1,200,,Thread Group 1-48,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405258642,249,HTTP Request,200,,Thread Group 1-49,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,200,0,43
1552405258642,200,HTTP Request-0,302,,Thread Group 1-49,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,43
1552405258842,49,HTTP Request-1,200,,Thread Group 1-49,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,49,0,0
1552405258930,250,HTTP Request,200,,Thread Group 1-50,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,200,0,43
1552405258930,200,HTTP Request-0,302,,Thread Group 1-50,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,43
1552405259130,50,HTTP Request-1,200,,Thread Group 1-50,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405259222,245,HTTP Request,200,,Thread Group 1-51,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,196,0,43
1552405259222,196,HTTP Request-0,302,,Thread Group 1-51,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,196,0,43
1552405259418,49,HTTP Request-1,200,,Thread Group 1-51,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,48,0,0
1552405259511,249,HTTP Request,200,,Thread Group 1-52,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,198,0,43
1552405259511,198,HTTP Request-0,302,,Thread Group 1-52,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,198,0,43
1552405259709,51,HTTP Request-1,200,,Thread Group 1-52,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405259796,254,HTTP Request,200,,Thread Group 1-53,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,203,0,43
1552405259796,203,HTTP Request-0,302,,Thread Group 1-53,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,203,0,43
1552405259999,51,HTTP Request-1,200,,Thread Group 1-53,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405260085,250,HTTP Request,200,,Thread Group 1-54,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,199,0,43
1552405260085,199,HTTP Request-0,302,,Thread Group 1-54,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,199,0,43
1552405260285,50,HTTP Request-1,200,,Thread Group 1-54,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,50,0,0
1552405260375,270,HTTP Request,200,,Thread Group 1-55,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,214,0,43
1552405260375,214,HTTP Request-0,302,,Thread Group 1-55,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,214,0,43
1552405260590,55,HTTP Request-1,200,,Thread Group 1-55,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,55,0,0
